"Len","P31","P50","P356","P1476","P1433","P577"
"Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment","Q13442814","Nicolas Peleato","10.1016/j.memsci.2011.05.013","Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment","Journal of Membrane Science","2011-05-20"
"Aquatic Insects","Q13442814","Q56794616","10.1080/01650427909360994","Aquatic Insects","Aquatic Insects","2008-09-30"
"Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","Q13442814","Q56794616","10.4039/n07-ls04","Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","The Canadian Entomologist","2009-04-15"
"Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Q13442814","Q57582079","10.1002/2015wr017199","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Water Resources Research","2015-11-18"
"Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.08.078","Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Journal of Cleaner Production","2017-08-14"
"Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119559","Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Journal of Cleaner Production","2019-12-06"
"Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.10.067","Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Journal of Cleaner Production","2016-10-25"
"Artificial light as a disturbance to light‐naïve streams","Q13442814","Q56794616","10.1111/fwb.12426","Artificial light as a disturbance to light‐naïve streams","Freshwater Biology","2014-08-14"
"Asher P. Schick (1931–2002)","Q13442814","Marwan Hassan","10.1029/2002eo000388","Asher P. Schick (1931–2002)","Eos, Transactions American Geophysical Union","2006-10-19"
"Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Q13442814","Rehan Sadiq","10.1007/s10661-016-5306-3","Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Environmental Monitoring and Assessment","2016-04-21"
"Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1177/2399654419859365","Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Environment and Planning C: Politics and Space","2019-07-09"
"Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua","Q13442814","Jordi Honey-Rosés","10.1177/1940082920922676","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua","Tropical Conservation Science","2020-05-06"
"Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Q13442814","Pierre Bérubé","10.1016/j.watres.2013.06.018","Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Water Research","2013-06-28"
"Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Q13442814","Q56794616","10.1111/j.1600-0706.2010.18942.x","Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Oikos","2010-12-06"
"Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Q13442814","Q56794616","10.1016/j.foreco.2016.10.044","Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Forest Ecology and Management","2016-10-26"
"Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Q13442814","Q56794616","10.1111/j.1523-1739.2010.01606.x","Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Conservation Biology","2010-11-17"
"Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Q13442814","Rehan Sadiq","10.1016/j.jher.2018.08.002","Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Journal of Hydro-environment Research","2018-08-14"
"Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Q13442814","Pierre Bérubé","10.1016/j.ces.2010.12.034","Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Chemical Engineering Science","2010-12-29"
"Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122886","Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Journal of Cleaner Production","2020-07-12"
"Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Q13442814","Rehan Sadiq","10.4314/wsa.v42i2.17","Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Water SA","2016-05-05"
"Automated analysis of aspects of written argumentation","Q13442814","Gunilla Öberg","10.1145/3027385.3029484","Automated analysis of aspects of written argumentation","Proceedings of the Seventh International Learning Analytics & Knowledge Conference","2017-02-27"
"BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Q13442814","Marwan Hassan","10.5194/egusphere-egu2020-10800","BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Copernicus GmbH","2020-03-09"
"BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119543","BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Journal of Cleaner Production","2019-12-03"
"BRITISH MYCOLOGICAL SOCIETY","Q13442814","Q56794616","10.1016/s0007-1536(67)80110-4","BRITISH MYCOLOGICAL SOCIETY","Transactions of the British Mycological Society","2009-09-23"
"Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Q13442814","Marwan Hassan","10.1029/2020gl087440","Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Geophysical Research Letters","2020-07-09"
"Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Q13442814","Marwan Hassan","10.1002/essoar.10502258.1","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Wiley","2020-02-13"
"Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models","Q13442814","Steven Weijs","10.1007/s11269-017-1813-4","Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models","Water Resources Management","2017-10-07"
"Bar structure in an arid ephemeral stream","Q13442814","Marwan Hassan","10.1016/j.sedgeo.2009.07.012","Bar structure in an arid ephemeral stream","Sedimentary Geology","2009-08-16"
"Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0374","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Canadian Journal of Civil Engineering","2015-12-23"
"Beauty is in the Eye of the Beholder","Q13442814","Gunilla Öberg","10.5005/jp/books/11837_19","Beauty is in the Eye of the Beholder","The Eye in History","2013-12-11"
"Bed material and bed load movement in two ephemeral streams","Q13442814","Marwan Hassan","10.1002/9781444303995.ch4","Bed material and bed load movement in two ephemeral streams","Alluvial Sedimentation","2009-04-14"
"Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","Q13442814","Marwan Hassan","10.1201/b17133-169","Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","River Flow 2014","2014-09-25"
"Bedload transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/9781118971437.ch15","Bedload transport in gravel bed rivers","Gravel-Bed Rivers","2017-05-06"
"Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Q13442814","Rehan Sadiq","10.3390/su12114422","Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Sustainability","2020-06-02"
