"Len","P31","P50","P356","P1476"
"BRITISH MYCOLOGICAL SOCIETY","Q13442814","Q56794616","10.1016/s0007-1536(67)80110-4","BRITISH MYCOLOGICAL SOCIETY"
"Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Q13442814","Marwan Hassan","10.1029/2020gl087440","Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport"
"Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Q13442814","Marwan Hassan","10.1002/essoar.10502258.1","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport"
"Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models","Q13442814","Steven Weijs","10.1007/s11269-017-1813-4","Balancing Costs and Benefits in Selecting New Information: Efficient Monitoring Using Deterministic Hydro-economic Models"
"Bar structure in an arid ephemeral stream","Q13442814","Marwan Hassan","10.1016/j.sedgeo.2009.07.012","Bar structure in an arid ephemeral stream"
"Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0374","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities"
"Beauty is in the Eye of the Beholder","Q13442814","Gunilla Öberg","10.5005/jp/books/11837_19","Beauty is in the Eye of the Beholder"
"Bed material and bed load movement in two ephemeral streams","Q13442814","Marwan Hassan","10.1002/9781444303995.ch4","Bed material and bed load movement in two ephemeral streams"
"Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","Q13442814","Marwan Hassan","10.1201/b17133-169","Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers"
"Bedload transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/9781118971437.ch15","Bedload transport in gravel bed rivers"
"Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Q13442814","Rehan Sadiq","10.3390/su12114422","Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach"
"Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia","Q13442814","Q56794616","10.1899/02-075.1","Benthic assemblage variation among channel units in high-gradient streams on Vancouver Island, British Columbia"
"Beyond CP Snow","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch2","Beyond CP Snow"
"Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera","Q13442814","Marwan Hassan","10.1016/j.geomorph.2021.107700","Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera"
"Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil","Q13442814","Mark Johnson","10.1016/j.jenvman.2014.09.033","Biochar decreases dissolved organic carbon but not nitrate leaching in relation to vinasse application in a Brazilian sugarcane soil"
"Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars","Q13442814","Mark Johnson","10.1016/j.jenvman.2017.12.052","Biochar feedstock and pyrolysis temperature effects on leachate: DOC characteristics and nitrate losses from a Brazilian Cerrado Arenosol mixed with agricultural waste biochars"
"Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil","Q13442814","Mark Johnson","10.1371/journal.pone.0098523","Biochar from Sugarcane Filtercake Reduces Soil CO2 Emissions Relative to Raw Residue and Improves Water Retention and Nutrient Availability in a Highly-Weathered Tropical Soil"
"Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil","Q13442814","Mark Johnson","10.1038/s41598-017-07224-6","Biochar influences on soil CO2 and CH4 fluxes in response to wetting and drying cycles for a forest soil"
"Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol","Q13442814","Mark Johnson","10.1111/gcbb.12489","Biochars from local agricultural waste residues contribute to soil quality and plant growth in a Cerrado region (Brazil) Arenosol"
"Biodegradation kinetics of 17α-ethinylestradiol in activated sludge treatment processes","Q13442814","Q88314953","10.1089/ees.2014.0467","Biodegradation kinetics of 17α-ethinylestradiol in activated sludge treatment processes"
"Biodiversity‐ecosystem function research: Insights gained from streams","Q13442814","Q56794616","10.1002/rra.1286","Biodiversity‐ecosystem function research: Insights gained from streams"
"Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media.","Q13442814","Madjid Mohseni","10.1016/s0009-2509(99)00420-0","Biofiltration of hydrophilic and hydrophobic volatile organic compounds using wood-based media."
"Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis","Q13442814","Madjid Mohseni","10.1504/ijetm.2008.017859","Biofiltration of hydrophobic VOCs pretreated with UV photolysis and photocatalysis"
"Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams","Q13442814","Q56794616","10.1111/j.1365-2664.2011.02038.x","Biogeochemical properties of fine particulate organic matter as an indicator of local and catchment impacts on forested streams"
"Biological Ion Exchange Provides DOC Removal in Small Communities","Q13442814","Madjid Mohseni","10.1002/opfl.1369","Biological Ion Exchange Provides DOC Removal in Small Communities"
"Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","Madjid Mohseni","10.1016/j.watres.2021.117036","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal"
"Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal","Q13442814","Pierre Bérubé","10.1016/j.watres.2021.117036","Biological Ion Exchange capable of sulphate-based secondary ion exchange during long-term DOC removal"
"Biological diversity in headwater streams","Q13442814","Q56794616","10.3390/w11020366","Biological diversity in headwater streams"
"Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.115148","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment"
"Biological ion exchange as an alternative to biological activated carbon for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.115148","Biological ion exchange as an alternative to biological activated carbon for drinking water treatment"
"Biological treatment of waste gases containing inorganic compounds","Q13442814","Madjid Mohseni","10.1007/3-540-27007-8_12","Biological treatment of waste gases containing inorganic compounds"
"Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention","Q13442814","Pierre Bérubé","10.2166/ws.2017.016","Biologically active ion exchange (BIEX) for NOM removal and membrane fouling prevention"
"Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada","Q13442814","Gunilla Öberg","10.2175/193864716821125556","Biosolids are wicked to manage: Land application regulations in Sweden and B.C. Canada"
"Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)","Q13442814","Q56794616","10.2307/1467499","Biosystematics of eocosmoecus, a new nearctic caddisfly genus (Trichoptera: Limnephilidae, Dicosmoecinae)"
"Book Review: Engendering the environment? Gender in the World Bank’s environmental policies","Q13442814","Leila M. Harris","10.1177/146499340200200121","Book Review: Engendering the environment? Gender in the World Bank’s environmental policies"
"Book Review: Opposing currents: The politics of water and gender in Latin America","Q13442814","Leila M. Harris","10.1017/s1743923x05242071","Book Review: Opposing currents: The politics of water and gender in Latin America"
"Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations","Q13442814","Pierre Bérubé","10.1139/s05-001","Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations"
"Book Review: “Water in Plain Sight: Hope for a Thirsty World”","Q13442814","Jordi Honey-Rosés","10.1142/s2382624x17800017","Book Review: “Water in Plain Sight: Hope for a Thirsty World”"
"Bubble-induced damping in displacement-driven microfluidic flows","Q13442814","Jongho Lee","10.1103/physreve.86.026301","Bubble-induced damping in displacement-driven microfluidic flows"
"CFD modeling of mass transfer in annular reactors","Q13442814","Madjid Mohseni","10.1016/j.ijheatmasstransfer.2009.07.004","CFD modeling of mass transfer in annular reactors"
